course,shift,modality,min,max
ADMINISTRAÇÃO,Matutino,1.1,"556,76","561,02"
ADMINISTRAÇÃO,Matutino,1.2,"640,52","714,06"
ADMINISTRAÇÃO,Matutino,2.1,"524,70","610,10"
ADMINISTRAÇÃO,Matutino,2.2,"669,62","694,48"
ADMINISTRAÇÃO,Matutino,3.1,"526,64","649,92"
ADMINISTRAÇÃO,Matutino,3.2,"629,34","695,90"
ADMINISTRAÇÃO,Matutino,4.1,"595,02","595,02"
ADMINISTRAÇÃO,Matutino,4.2,"677,56","712,04"
ADMINISTRAÇÃO,Matutino,x,"712,34","775,66"
ADMINISTRAÇÃO,Noturno,1.1,"409,40","585,14"
ADMINISTRAÇÃO,Noturno,1.2,"668,16","672,48"
ADMINISTRAÇÃO,Noturno,2.1,"565,84","629,28"
ADMINISTRAÇÃO,Noturno,2.2,"671,74","700,98"
ADMINISTRAÇÃO,Noturno,3.1,"571,54","581,02"
ADMINISTRAÇÃO,Noturno,3.2,"688,20","703,42"
ADMINISTRAÇÃO,Noturno,4.1,"558,04","588,56"
ADMINISTRAÇÃO,Noturno,4.2,"688,82","722,68"
ADMINISTRAÇÃO,Noturno,x,"706,30","761,32"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,1.1,"555,68","555,68"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,1.2,"602,70","657,46"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,2.1,"587,44","587,44"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,2.2,"649,12","665,26"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,3.1,"543,50","564,48"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,3.2,"594,72","667,70"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,4.1,"562,34","562,34"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,4.2,"603,74","688,40"
ADMINISTRAÇÃO (MONTES CLAROS),Noturno,x,"618,14","716,84"
AGRONOMIA,Matutino,1.1,"534,86","586,14"
AGRONOMIA,Matutino,1.2,"598,84","645,86"
AGRONOMIA,Matutino,2.1,"559,12","559,12"
AGRONOMIA,Matutino,2.2,"551,06","676,46"
AGRONOMIA,Matutino,3.1,"503,70","593,30"
AGRONOMIA,Matutino,3.2,"566,48","688,18"
AGRONOMIA,Matutino,4.1,"508,16","508,16"
AGRONOMIA,Matutino,4.2,"527,50","709,02"
AGRONOMIA,Matutino,x,"594,50","711,54"
ANTROPOLOGIA,Noturno,1.1,"284,76","511,84"
ANTROPOLOGIA,Noturno,1.2,"621,90","641,68"
ANTROPOLOGIA,Noturno,2.2,"639,12","691,52"
ANTROPOLOGIA,Noturno,3.1,"544,40","544,40"
ANTROPOLOGIA,Noturno,3.2,"573,22","682,18"
ANTROPOLOGIA,Noturno,4.1,"578,78","578,78"
ANTROPOLOGIA,Noturno,4.2,"661,82","719,90"
ANTROPOLOGIA,Noturno,x,"662,90","748,18"
AQUACULTURA,Matutino,1.1,"471,48","607,10"
AQUACULTURA,Matutino,1.2,"606,02","646,24"
AQUACULTURA,Matutino,2.1,"597,30","597,30"
AQUACULTURA,Matutino,2.2,"481,40","640,80"
AQUACULTURA,Matutino,3.1,"439,80","540,78"
AQUACULTURA,Matutino,3.2,"527,56","642,06"
AQUACULTURA,Matutino,4.1,"412,16","412,16"
AQUACULTURA,Matutino,4.2,"621,42","686,50"
AQUACULTURA,Matutino,x,"622,28","714,98"
ARQUITETURA E URBANISMO,Matutino,1.1,"454,26","587,00"
ARQUITETURA E URBANISMO,Matutino,1.2,"675,80","738,52"
ARQUITETURA E URBANISMO,Matutino,2.1,"605,04","723,76"
ARQUITETURA E URBANISMO,Matutino,2.2,"682,20","718,78"
ARQUITETURA E URBANISMO,Matutino,3.1,"507,12","618,06"
ARQUITETURA E URBANISMO,Matutino,3.2,"672,34","739,30"
ARQUITETURA E URBANISMO,Matutino,4.1,"551,96","616,18"
ARQUITETURA E URBANISMO,Matutino,4.2,"718,02","764,44"
ARQUITETURA E URBANISMO,Matutino,x,"738,30","787,32"
ARQUITETURA E URBANISMO,Noturno,1.1,"524,62","603,56"
ARQUITETURA E URBANISMO,Noturno,1.2,"658,66","728,36"
ARQUITETURA E URBANISMO,Noturno,2.1,"507,26","630,34"
ARQUITETURA E URBANISMO,Noturno,2.2,"696,46","723,34"
ARQUITETURA E URBANISMO,Noturno,3.1,"618,90","669,28"
ARQUITETURA E URBANISMO,Noturno,3.2,"676,10","711,96"
ARQUITETURA E URBANISMO,Noturno,4.1,"597,70","597,70"
ARQUITETURA E URBANISMO,Noturno,4.2,"713,82","736,14"
ARQUITETURA E URBANISMO,Noturno,x,"722,54","773,02"
ARQUIVOLOGIA,Noturno,1.1,"473,34","594,42"
ARQUIVOLOGIA,Noturno,1.2,"602,04","651,54"
ARQUIVOLOGIA,Noturno,2.1,"511,62","557,34"
ARQUIVOLOGIA,Noturno,2.2,"606,46","631,10"
ARQUIVOLOGIA,Noturno,3.1,"514,04","528,24"
ARQUIVOLOGIA,Noturno,3.2,"558,86","652,10"
ARQUIVOLOGIA,Noturno,4.1,"532,52","532,52"
ARQUIVOLOGIA,Noturno,4.2,"595,74","666,82"
ARQUIVOLOGIA,Noturno,x,"608,42","725,78"
BIBLIOTECONOMIA,Matutino,1.1,"489,94","600,38"
BIBLIOTECONOMIA,Matutino,1.2,"600,50","644,22"
BIBLIOTECONOMIA,Matutino,2.1,"410,74","558,84"
BIBLIOTECONOMIA,Matutino,2.2,"619,52","648,20"
BIBLIOTECONOMIA,Matutino,3.1,"477,22","509,46"
BIBLIOTECONOMIA,Matutino,3.2,"600,36","657,22"
BIBLIOTECONOMIA,Matutino,4.1,"456,50","599,82"
BIBLIOTECONOMIA,Matutino,4.2,"625,06","657,00"
BIBLIOTECONOMIA,Matutino,x,"607,74","700,96"
BIBLIOTECONOMIA,Noturno,1.1,"612,54","612,54"
BIBLIOTECONOMIA,Noturno,1.2,"571,88","639,64"
BIBLIOTECONOMIA,Noturno,2.1,"514,94","514,94"
BIBLIOTECONOMIA,Noturno,2.2,"586,06","641,16"
BIBLIOTECONOMIA,Noturno,3.1,"487,26","487,26"
BIBLIOTECONOMIA,Noturno,3.2,"578,88","654,76"
BIBLIOTECONOMIA,Noturno,4.1,"483,04","483,04"
BIBLIOTECONOMIA,Noturno,4.2,"526,56","674,50"
BIBLIOTECONOMIA,Noturno,x,"618,68","724,94"
BIOMEDICINA,Noturno,1.1,"511,32","618,10"
BIOMEDICINA,Noturno,1.2,"678,48","709,56"
BIOMEDICINA,Noturno,2.1,"607,80","607,80"
BIOMEDICINA,Noturno,2.2,"695,54","721,72"
BIOMEDICINA,Noturno,3.1,"475,34","627,98"
BIOMEDICINA,Noturno,3.2,"666,46","718,08"
BIOMEDICINA,Noturno,4.1,"630,02","662,44"
BIOMEDICINA,Noturno,4.2,"717,76","732,14"
BIOMEDICINA,Noturno,x,"694,04","782,20"
